,fluxes
PFK,7.280117096432091
PFL,0.0
PGI,3.8352927201654152
PGK,-16.085923089597518
PGL,6.0175506487928185
ACALD,0.0
AKGt2r,0.0
PGM,-15.012038601604921
PIt2r,2.64070779811388
ALCD2x,0.0
ACALDt,0.0
ACKr,-6.811093186718812
PPC,2.05703435079652
ACONTa,1.0474821206396916
ACONTb,1.047482120639696
ATPM,8.39
PPCK,0.0
ACt2r,-6.811093186718812
PPS,0.0
ADK1,0.0
AKGDH,0.27300753902527214
ATPS4r,33.035113714863755
PTAr,6.811093186718812
PYK,2.5823749475216644
BIOMASS_Ecoli_core_w_GAM,0.7178372245939825
PYRt2,0.0
CO2t,-15.829891615353066
RPE,3.49571903549039
CS,1.0474821206396916
RPI,-2.5218316133024286
SUCCt2_2,0.0
CYTBD,30.0
D_LACt2,0.0
ENO,15.012038601604921
SUCCt3,0.0
ETOHt2r,0.0
SUCDi,0.27300753902527214
SUCOAS,-0.27300753902527214
TALA,1.8774291367844087
THD2,0.0
TKT1,1.877429136784409
TKT2,1.6182898987059813
TPI,7.280117096432091
EX_ac_e,6.811093186718812
EX_acald_e,0.0
EX_akg_e,0.0
EX_co2_e,15.829891615353066
EX_etoh_e,0.0
EX_for_e,0.0
EX_fru_e,0.0
EX_fum_e,0.0
EX_glc__D_e,-10.0
EX_gln__L_e,0.0
EX_glu__L_e,0.0
EX_h_e,21.21090791207407
EX_h2o_e,21.05890509418544
EX_lac__D_e,0.0
EX_mal__L_e,0.0
EX_nh4_e,-3.9142228182660705
EX_o2_e,-15.0
EX_pi_e,-2.64070779811388
EX_pyr_e,0.0
EX_succ_e,0.0
FBA,7.280117096432091
FBP,0.0
FORt2,0.0
FORt,0.0
FRD7,0.0
FRUpts2,0.0
FUM,0.2730075390252467
FUMt2_2,0.0
G6PDH2r,6.0175506487928185
GAPD,16.085923089597518
GLCpts,10.0
GLNS,0.18355097832868114
GLNabc,0.0
GLUDy,-3.730671839937389
GLUN,0.0
GLUSy,0.0
GLUt2r,0.0
GND,6.0175506487928185
H2Ot,-21.05890509418544
ICDHyr,1.047482120639696
ICL,0.0
LDH_D,0.0
MALS,0.0
MALt2_2,0.0
MDH,0.2730075390252467
ME1,0.0
ME2,0.0
NADH16,29.726992460974717
NADTRHD,0.0
NH4t,3.9142228182660705
O2t,15.0
PDH,10.54888565769183
